Customer_ID,Age_Group,Income_Level,Living_Area
CUST-MLJRYA,35-44,Low,Suburban
CUST-QBQDUW,45-54,High,Rural
CUST-UFYIJD,55+,Medium,Urban
CUST-ZSUIUF,55+,High,Urban
CUST-KYHJZN,55+,Medium,Rural
CUST-SCKXVX,45-54,Low,Suburban
CUST-TURDGX,25-34,High,Rural
CUST-DMCXTO,18-24,Medium,Rural
CUST-VDSRHI,55+,Low,Rural
CUST-KDMJDZ,55+,Low,Urban
CUST-NBXRAA,18-24,Medium,Rural
CUST-MPGQMJ,18-24,High,Rural
CUST-TEJLCA,25-34,High,Urban
CUST-KLADFR,35-44,Low,Rural
CUST-SVZRPL,35-44,High,Rural
CUST-RHGBEG,18-24,Medium,Urban
CUST-LFYSRB,45-54,High,Urban
CUST-TCNUIV,18-24,Medium,Rural
CUST-IIIRYY,35-44,Low,Rural
CUST-UXOGDS,35-44,Low,Rural
CUST-VXLDWN,18-24,High,Suburban
CUST-FRIDUZ,45-54,Low,Rural
CUST-UUCHGJ,25-34,High,Rural
CUST-XYKLRW,25-34,High,Urban
CUST-QAVMBM,55+,High,Suburban
CUST-PNEWRC,25-34,Low,Suburban
CUST-DPOYIH,55+,Low,Rural
CUST-FASKQL,55+,Medium,Rural
CUST-EFWEPI,55+,High,Urban
CUST-ZKGLOG,25-34,Low,Rural
CUST-MJUYZV,45-54,High,Suburban
CUST-BCZJXB,35-44,Medium,Rural
CUST-TKIFYH,55+,Low,Urban
CUST-UWATBM,25-34,High,Urban
CUST-DNSXFW,18-24,Low,Suburban
CUST-TGAEYN,35-44,Medium,Suburban
CUST-PRDUMT,45-54,High,Rural
CUST-IIGGGS,55+,High,Rural
CUST-GDWMSG,45-54,Low,Suburban
CUST-ZMLJSQ,25-34,Medium,Rural
CUST-0ZCJGS,25-34,Medium,Rural
CUST-GHSVBI,55+,Medium,Rural
CUST-FYOLMT,18-24,Low,Rural
CUST-JRSFTK,45-54,Medium,Rural
CUST-QZGIRM,55+,Medium,Urban
CUST-RLQHAT,45-54,Medium,Rural
CUST-FVWVBM,35-44,Low,Suburban
CUST-EWKIHB,18-24,Medium,Rural
CUST-HSXXPH,25-34,Low,Suburban
CUST-SZGFEC,45-54,Medium,Suburban
CUST-UDVHKX,25-34,Low,Rural
CUST-HLJBYT,18-24,Medium,Rural
CUST-VYAAJB,35-44,Medium,Rural
CUST-ISBGAR,55+,Low,Suburban
CUST-PUTJMU,45-54,Low,Urban
CUST-INFMRL,55+,Low,Rural
CUST-QCQHAY,18-24,Low,Urban
CUST-HKCYXU,35-44,Medium,Suburban
CUST-KVGKCD,45-54,Medium,Rural
CUST-NJT0FM,45-54,High,Urban
CUST-LUNGKE,55+,Low,Urban
CUST-TWRMNI,18-24,High,Urban
CUST-ZTTLAD,55+,Medium,Urban
CUST-MDZUYJ,18-24,High,Rural
CUST-BYOGRN,35-44,High,Suburban
CUST-LFRXOC,18-24,Medium,Rural
CUST-NQFIYO,35-44,High,Suburban
CUST-NWJEHT,45-54,Medium,Suburban
CUST-FWYGPK,35-44,High,Suburban
CUST-FWYGPK,45-54,Low,Suburban
CUST-XOVPIH,35-44,Medium,Suburban
CUST-WRYLAD,55+,High,Urban
CUST-BJUYFU,25-34,High,Rural
CUST-IJJTON,45-54,High,Rural
CUST-GNUXTC,18-24,High,Urban
CUST-GUEGXB,18-24,Low,Rural
CUST-YOIYXU,25-34,Medium,Suburban
CUST-OYIYZE,25-34,Low,Suburban
CUST-TUQHIJ,45-54,High,Urban
CUST-GUEGXB,45-54,High,Urban
CUST-XXPAKC,55+,Low,Rural
CUST-KCKQYE,25-34,High,Urban
CUST-WGWTPW,18-24,High,Suburban
CUST-PFGMXH,45-54,Medium,Suburban
CUST-EWZJVK,18-24,High,Urban
CUST-MOAAHY,25-34,Medium,Suburban
CUST-GTAMDH,18-24,High,Rural
CUST-SRCUIL,35-44,Medium,Rural
CUST-TKZFVN,55+,High,Suburban
CUST-PKJHHR,18-24,High,Urban
CUST-ESLFDX,18-24,High,Suburban
CUST-WAIULK,18-24,Low,Rural
CUST-VNNRAK,25-34,Medium,Rural
CUST-UMDOZP,45-54,Low,Suburban
CUST-FVYJPJ,55+,Medium,Rural
CUST-HZNUNM,25-34,High,Rural
CUST-JVXCRF,25-34,Medium,Suburban
CUST-ISEQUK,18-24,High,Suburban
CUST-SHFFFI,35-44,Low,Urban
CUST-KODHFY,45-54,Low,Urban
CUST-HCNVCE,25-34,High,Suburban
CUST-YVRSVC,18-24,Low,Rural
CUST-IBSMEN,45-54,Medium,Rural
CUST-CESZBM,25-34,High,Rural
CUST-NIMLZA,55+,High,Suburban
CUST-NUSPZU,18-24,Low,Suburban
CUST-SPNGND,55+,Low,Suburban
CUST-OFBBCO,35-44,High,Suburban
CUST-RLQHAT,25-34,Low,Urban
CUST-PZDYIP,18-24,Medium,Suburban
CUST-KWZYMD,35-44,Medium,Rural
CUST-TKCMRC,18-24,Medium,Urban
CUST-CXRNKY,45-54,Medium,Rural
CUST-SGYQGR,25-34,High,Suburban
CUST-HCBSEU,18-24,Low,Suburban
CUST-CMWKPV,18-24,Medium,Rural
CUST-GDLSKA,18-24,Medium,Urban
CUST-NUSPZU,18-24,High,Urban
CUST-SCFWBC,18-24,Low,Rural
CUST-GSIPIS,25-34,High,Rural
CUST-TVDOJG,18-24,High,Urban
CUST-YHYXMT,18-24,Medium,Suburban
CUST-CZNFXM,35-44,Low,Suburban
CUST-UZIWCW,45-54,Low,Suburban
CUST-MKJSZS,18-24,High,Urban
CUST-GSMMUO,18-24,Low,Suburban
CUST-JWRVMF,18-24,Low,Rural
CUST-KDYFRH,18-24,High,Urban
CUST-BPZUNC,45-54,Low,Suburban
CUST-HWYVNL,55+,Medium,Rural
CUST-SRKLWS,35-44,Medium,Rural
CUST-PQKFIQ,55+,High,Suburban
CUST-BDCVYC,18-24,Low,Rural
CUST-NWOXAQ,18-24,Low,Suburban
CUST-DNSXFW,25-34,High,Rural
CUST-LFYSRB,18-24,Medium,Suburban
CUST-ZKJDTB,55+,Low,Suburban
CUST-HSGFSU,45-54,Medium,Suburban
CUST-HRYFVC,18-24,Medium,Suburban
CUST-XNEAWP,25-34,Low,Rural
CUST-DVIZFV,25-34,Medium,Rural
CUST-JHXDLE,25-34,Low,Urban
CUST-VZVPBN,55+,Medium,Urban
CUST-RAZOOK,25-34,High,Suburban
CUST-MDOVEB,18-24,High,Suburban
CUST-UNYFEH,55+,High,Urban
CUST-TZVJIZ,25-34,High,Suburban
CUST-QAVMBM,35-44,Low,Urban
CUST-TYEIMG,25-34,Low,Suburban
CUST-KLADFR,45-54,Low,Urban
CUST-GDWMSG,25-34,High,Suburban
CUST-HRYFVC,18-24,High,Suburban
CUST-ORAMDR,35-44,Medium,Urban
CUST-RPBXIF,35-44,Medium,Urban
CUST-SCFWBC,55+,High,Suburban
CUST-QIWXYG,45-54,Medium,Suburban
CUST-QRWRCV,25-34,Low,Suburban
CUST-TVDOJG,35-44,Medium,Urban
CUST-NQIVTC,55+,Medium,Rural
CUST-ENIBRB,55+,High,Urban
CUST-THSYAW,18-24,High,Rural
CUST-LFRXOC,45-54,Medium,Suburban
CUST-CUDCQE,35-44,High,Urban
CUST-HSGFSU,25-34,Medium,Urban
CUST-BGEGKK,45-54,High,Urban
CUST-LRQNCG,55+,Medium,Suburban
CUST-IKOGFN,45-54,Medium,Rural
CUST-QJFGMA,18-24,Low,Rural
CUST-OHMWPS,18-24,High,Rural
CUST-GDLSKA,18-24,Medium,Urban
CUST-LQZSUN,55+,Medium,Urban
CUST-GBHHNI,35-44,Low,Urban
CUST-ZLTATA,55+,High,Rural
CUST-ERETLE,35-44,Low,Suburban
CUST-ZUCXJW,35-44,Low,Rural
CUST-QTNQOI,45-54,Medium,Urban
CUST-DGYZFL,18-24,Low,Suburban
CUST-SCKXVX,25-34,Low,Suburban
CUST-DYHJGD,18-24,High,Suburban
CUST-VSVZTH,25-34,High,Suburban
CUST-SMGBOF,35-44,High,Urban
CUST-AEAJZH,25-34,Medium,Rural
CUST-XTFQME,25-34,High,Suburban
CUST-QNBFRZ,55+,High,Rural
CUST-CGMGEH,55+,High,Suburban
CUST-QVJCQL,25-34,Low,Rural
CUST-HQBOSX,45-54,Low,Suburban
CUST-ACWNBB,18-24,Medium,Suburban
CUST-VHGQYQ,18-24,Medium,Suburban
CUST-KQJJQD,35-44,High,Urban
CUST-IJJTON,45-54,High,Suburban
CUST-OVZMXB,25-34,High,Urban
CUST-EKQUIY,25-34,High,Suburban
CUST-SLNJSQ,55+,Low,Urban
CUST-DEBNOH,45-54,High,Suburban
CUST-BCSN0D,55+,Medium,Suburban
CUST-AIFNIY,25-34,Low,Suburban
CUST-ZEDDTG,55+,Low,Suburban
CUST-LLYVGI,25-34,Medium,Urban
CUST-HNQVTK,25-34,High,Urban
CUST-TWRMNI,55+,High,Rural
CUST-UGBOKZ,35-44,High,Suburban
CUST-ALLCPB,18-24,Low,Suburban
CUST-CJMOTI,45-54,Low,Suburban
CUST-CVGDAK,18-24,Low,Urban
CUST-BRFJGP,18-24,Medium,Rural
CUST-HOXTLN,55+,High,Suburban
CUST-GTAOTB,18-24,Low,Suburban
CUST-PYFUDX,55+,High,Urban
CUST-VJTJVC,25-34,Low,Suburban
CUST-TKCMRC,25-34,Medium,Rural
CUST-MSPOOR,35-44,Medium,Urban
CUST-WWEDDL,18-24,Low,Urban
CUST-SRCUIL,55+,Low,Urban
CUST-OFBBCO,25-34,Medium,Suburban
CUST-MDBFBA,45-54,High,Suburban
CUST-MHATCF,18-24,High,Urban
CUST-XLRRUX,35-44,High,Suburban
CUST-YEDYUG,35-44,High,Suburban
CUST-ISBIX0,55+,High,Suburban
CUST-FCXNTK,25-34,High,Suburban
CUST-PSHGCM,35-44,High,Urban
CUST-CSQPSW,45-54,High,Rural
CUST-IXDGEA,25-34,Low,Suburban
CUST-XBTYZL,35-44,High,Urban
CUST-SPNGND,25-34,Medium,Urban
CUST-WPPPZN,18-24,High,Rural
CUST-SXEAWW,45-54,Medium,Urban
CUST-XICFAO,55+,Low,Urban
CUST-AGCDWV,25-34,Low,Urban
CUST-GHSVBI,18-24,Low,Urban
CUST-EQJHOG,35-44,Low,Suburban
CUST-OFBBCO,55+,High,Urban
CUST-UQRMEL,45-54,Low,Suburban
CUST-XRANNB,45-54,High,Suburban
CUST-UASKJU,35-44,Medium,Rural
CUST-QIBPYP,55+,Medium,Rural
CUST-ISBGAR,18-24,Low,Rural
CUST-DSSKAS,55+,Low,Urban
CUST-HPPBTX,18-24,Medium,Suburban
CUST-PDVTVV,45-54,Low,Urban
CUST-PJMCBG,25-34,Medium,Suburban
CUST-VWXHHP,18-24,High,Rural
CUST-NWOXAQ,55+,Medium,Suburban
CUST-JMZPOZ,55+,Low,Rural
CUST-DVMWBU,18-24,High,Urban
CUST-DMNBQX,18-24,High,Urban
CUST-JWNZNG,35-44,Low,Urban
CUST-NEXGPL,18-24,Medium,Rural
CUST-CJGEMY,25-34,Medium,Rural
CUST-SXQGJD,35-44,Low,Rural
CUST-XXVULS,25-34,High,Suburban
CUST-YKWDPO,55+,High,Urban
CUST-XRANNB,25-34,High,Rural
CUST-YFBUOE,25-34,High,Urban
CUST-PHAQMD,18-24,Low,Rural
CUST-HZNUNM,25-34,Medium,Urban
CUST-QKIHVH,55+,Low,Urban
CUST-GIOCRV,55+,Low,Rural
CUST-NHGHGL,55+,Low,Rural
CUST-SAUQNR,18-24,Medium,Suburban
CUST-CRVNWM,55+,High,Urban
CUST-RIMHKL,18-24,Low,Rural
CUST-YHYXMT,45-54,Low,Suburban
CUST-ZQZPBR,45-54,Low,Suburban
CUST-CKBQPP,55+,Low,Suburban
CUST-KTETHC,55+,High,Suburban
CUST-JYOAFT,35-44,High,Rural
CUST-WWYGFY,35-44,Low,Suburban
CUST-VCNOZG,45-54,Low,Urban
CUST-TKIFYH,45-54,Medium,Urban
CUST-ASMOPP,35-44,Low,Suburban
CUST-YGYKOL,25-34,Medium,Urban
CUST-MDBFBA,25-34,High,Rural
CUST-WURETA,25-34,Low,Rural
CUST-WPIIDZ,18-24,Low,Rural
CUST-OBLPLS,55+,Medium,Suburban
CUST-EZGXJU,18-24,High,Urban
CUST-NAHFVZ,25-34,Low,Urban
CUST-NPUITQ,25-34,High,Rural
CUST-IIXSHB,45-54,High,Urban
CUST-HQBOSX,18-24,High,Suburban
CUST-ERETLE,55+,Medium,Rural
CUST-MFVDKL,55+,Medium,Suburban
CUST-SIUZWQ,18-24,Medium,Suburban
CUST-PRKQGZ,18-24,Low,Suburban
CUST-JTIFFT,25-34,High,Rural
CUST-TILJTQ,25-34,Medium,Urban
CUST-QRWRCV,25-34,Medium,Rural
CUST-BIGEIS,55+,Low,Rural
CUST-PBBBXL,55+,Medium,Urban
CUST-YLHFJB,25-34,Medium,Urban
CUST-YEMUOW,45-54,Low,Suburban
CUST-IGRLGZ,55+,Low,Suburban
CUST-RPNFKT,45-54,Medium,Urban
CUST-HJFYNA,45-54,Low,Suburban
CUST-HBFRYF,25-34,High,Urban
CUST-TILJTQ,25-34,Low,Urban
CUST-BZVZZQ,55+,Medium,Urban
CUST-UUBKKI,45-54,Low,Urban
CUST-EBESWD,25-34,Medium,Suburban
CUST-ORAMDR,55+,Medium,Suburban
CUST-YLGFWS,55+,Medium,Rural
CUST-DEBNOH,35-44,Medium,Urban
CUST-YXXOBB,18-24,Low,Urban
CUST-VLZB0Y,55+,Medium,Suburban
CUST-UMDOZP,18-24,Medium,Suburban
CUST-LVKJTS,35-44,Medium,Rural
CUST-LVVBXE,45-54,Medium,Rural
CUST-HLJBYT,35-44,Low,Rural
CUST-IYVAZU,18-24,High,Rural
CUST-YXSFWV,45-54,Medium,Urban
CUST-UZHYCU,18-24,Low,Suburban
CUST-FVWVBM,18-24,Medium,Urban
CUST-UEGKDS,18-24,Low,Rural
CUST-ZQZPBR,18-24,High,Suburban
CUST-YJFTXI,55+,High,Rural
CUST-MRJNDQ,35-44,Medium,Urban
CUST-OCTWMB,18-24,Medium,Urban
CUST-WKKHJY,45-54,High,Rural
CUST-CCUHQB,25-34,Low,Rural
CUST-YGSALK,45-54,Medium,Rural
CUST-TMQKLB,55+,Medium,Rural
CUST-DMCXTO,18-24,High,Suburban
CUST-UNYFEH,25-34,High,Urban
CUST-WPMJVW,25-34,Low,Suburban
CUST-VYAAJB,25-34,Low,Rural
CUST-KLQSAJ,35-44,Medium,Urban
CUST-VIQSLN,25-34,Low,Suburban
CUST-CUDCQE,45-54,Low,Suburban
CUST-MOAAHY,18-24,Medium,Urban
CUST-XZQGXK,55+,Medium,Suburban
CUST-QWUYOH,45-54,Low,Suburban
CUST-BENCRG,25-34,High,Suburban
CUST-RAYJ0S,18-24,Low,Urban
CUST-XWHKUJ,25-34,Low,Suburban
CUST-VYLDOZ,18-24,Medium,Suburban
CUST-PIMZWH,35-44,Low,Urban
CUST-PZGBXB,45-54,High,Urban
CUST-KDYFRH,25-34,Medium,Urban
CUST-ZNSMFI,25-34,Low,Suburban
CUST-QFCYNY,18-24,High,Suburban
CUST-DMCCFV,55+,High,Urban
CUST-VZTDYT,55+,Low,Urban
CUST-BXADMI,45-54,Low,Urban
CUST-UFLWRT,25-34,Medium,Rural
CUST-NNCHDN,45-54,Low,Suburban
CUST-ORFQMW,55+,High,Rural
CUST-GUNGVK,35-44,Low,Rural
CUST-EBESWD,25-34,Low,Urban
CUST-RJLPNI,25-34,Low,Suburban
CUST-QIEVZO,18-24,Low,Rural
CUST-NBXRAA,55+,Low,Suburban
CUST-AHVOBJ,35-44,Medium,Urban
CUST-SEXCVQ,55+,Medium,Rural
CUST-YYEFZR,35-44,Low,Urban
CUST-AZTRMJ,18-24,Low,Rural
CUST-NIMLZA,55+,Low,Suburban
CUST-LVKJTS,35-44,Low,Suburban
CUST-UYMUEM,55+,High,Urban
CUST-YPMPDM,35-44,Medium,Urban
CUST-ZRGZTN,45-54,Low,Suburban
CUST-PYFUDX,18-24,High,Suburban
CUST-BJUYFU,55+,High,Rural
CUST-DBYADB,18-24,High,Suburban
CUST-IDXVPY,45-54,Low,Urban
CUST-RWCABU,18-24,Medium,Rural
CUST-EXEPUG,45-54,Low,Urban
CUST-VHGQYQ,25-34,High,Urban
CUST-YTQGXK,45-54,Medium,Urban
CUST-GZKARO,45-54,Medium,Rural
CUST-WTWNVL,25-34,High,Suburban
CUST-QKIHVH,35-44,Low,Suburban
CUST-VFWIET,35-44,Medium,Suburban
CUST-SGYQGR,55+,High,Urban
CUST-GUNGVK,35-44,Medium,Rural
CUST-JEEOKU,55+,High,Suburban
CUST-RNGPDK,25-34,High,Suburban
CUST-STOSSL,18-24,Medium,Rural
CUST-MGPXOM,55+,Low,Urban
CUST-CSQPSW,45-54,Medium,Suburban
CUST-HKCYXU,45-54,High,Suburban
CUST-EFWEPI,35-44,Medium,Rural
CUST-NDEYTR,55+,Low,Suburban
CUST-ZMVXOV,45-54,High,Suburban
CUST-NWOXAQ,55+,Medium,Rural
CUST-OHMWPS,25-34,High,Urban
CUST-HKCYXU,35-44,High,Suburban
CUST-0ZCJGS,35-44,Low,Urban
CUST-ULOWJA,35-44,Medium,Urban
CUST-QKIHVH,25-34,Medium,Rural
CUST-SJRGJJ,55+,Low,Rural
CUST-TAGWHT,35-44,Medium,Rural
CUST-JYJQLD,55+,Low,Urban
CUST-NGQYCB,55+,Low,Rural
CUST-DINJBI,18-24,Low,Rural
CUST-IGIBJW,45-54,Medium,Suburban
CUST-WFFDVN,25-34,Medium,Rural
CUST-NPUITQ,18-24,Low,Rural
CUST-AVTXAG,55+,High,Urban
CUST-VCRPEF,18-24,Low,Urban
CUST-AEAJZH,55+,Low,Rural
CUST-XYWSFR,25-34,High,Suburban
CUST-AQOPNN,55+,Medium,Suburban
CUST-DTNBYJ,45-54,High,Rural
CUST-0ZCJGS,45-54,Medium,Urban
CUST-PIMZWH,35-44,Medium,Rural
CUST-JSJXXR,55+,High,Rural
CUST-THSYAW,18-24,Low,Urban
CUST-PVKDBF,25-34,Low,Rural
CUST-YFBUOE,25-34,Low,Rural
CUST-GUOVKX,45-54,High,Suburban
CUST-PWTTWE,18-24,Low,Rural
CUST-KODHFY,35-44,Low,Suburban
CUST-HCBSEU,45-54,High,Urban
CUST-TEJLCA,18-24,High,Rural
CUST-ILOYXD,55+,Low,Suburban
CUST-YFARJC,18-24,Medium,Rural
CUST-FXUNOJ,18-24,High,Urban
CUST-RKAYXK,35-44,Low,Rural
CUST-DMNBQX,55+,Medium,Suburban
CUST-JGCRVX,55+,Low,Suburban
CUST-PYFUDX,18-24,High,Suburban
CUST-CQYRMJ,18-24,Low,Rural
CUST-ORAMDR,18-24,Low,Rural
CUST-NBXRAA,25-34,Medium,Urban
CUST-ZQZPBR,55+,Low,Suburban
CUST-MRGRGJ,55+,Medium,Rural
CUST-GTAOTB,18-24,Low,Rural
CUST-KKAKWK,45-54,Medium,Urban
CUST-YGSALK,55+,Low,Urban
CUST-UWYPVM,55+,Low,Urban
CUST-FOCXMB,45-54,Medium,Rural
CUST-ZEDDTG,55+,Medium,Suburban
CUST-DVXILJ,25-34,Low,Suburban
CUST-UQWBIQ,45-54,High,Urban
CUST-GOHDBW,35-44,Low,Suburban
CUST-YZVAVE,25-34,Medium,Urban
CUST-ROSFWM,18-24,Low,Suburban
CUST-HTIFEB,25-34,Medium,Urban
CUST-SATIHH,45-54,Medium,Rural
CUST-XBTYZL,18-24,Low,Urban
CUST-VYRHRH,25-34,High,Rural
CUST-MSPOOR,45-54,Low,Urban
CUST-POPCVV,45-54,High,Rural
CUST-ULOWJA,35-44,Low,Urban
CUST-SRCUIL,45-54,Low,Urban
CUST-DHOOEP,18-24,Medium,Suburban
CUST-HKCYXU,45-54,High,Rural
CUST-WMUPCF,55+,Low,Suburban
CUST-MAKZJQ,35-44,High,Urban
CUST-DPCBFN,35-44,Medium,Urban
CUST-JBXUJU,45-54,High,Rural
CUST-CRSLQM,35-44,Low,Suburban
CUST-YDPRKI,45-54,Medium,Rural
CUST-UEDGVO,45-54,Low,Urban
CUST-MRVIGL,35-44,High,Suburban
CUST-FRIDUZ,25-34,High,Urban
CUST-BJUYFU,18-24,Medium,Suburban
CUST-XOVPIH,18-24,Medium,Suburban
CUST-QZAVXJ,35-44,High,Urban
CUST-QMAIJA,18-24,Low,Rural
CUST-RWQDIZ,55+,Medium,Suburban
CUST-SJWVXL,45-54,Medium,Rural
CUST-PZDYIP,45-54,High,Rural
CUST-CCUHQB,25-34,Medium,Suburban
CUST-EPMJJZ,18-24,High,Urban
CUST-VVBPWB,55+,Medium,Rural
CUST-KVGKCD,45-54,High,Urban
CUST-VUODWE,55+,Medium,Rural
CUST-UWYPVM,55+,Low,Rural
CUST-FTZKRZ,35-44,High,Rural
CUST-ZEDDTG,55+,Medium,Suburban
CUST-SOSHLN,35-44,High,Suburban
CUST-0LCNRL,35-44,Medium,Urban
CUST-CJMOTI,55+,Medium,Rural
CUST-LUWPQS,45-54,Medium,Suburban
CUST-CAWEZD,35-44,Low,Rural
CUST-STSIWM,25-34,Medium,Rural
CUST-RHAJJC,25-34,Medium,Urban
CUST-IYVAZU,25-34,Medium,Rural
CUST-ZQZPBR,45-54,High,Urban
CUST-LFYSRB,45-54,High,Urban
CUST-DWIFBM,55+,High,Rural
CUST-PXVDRY,45-54,Medium,Urban
CUST-IXUGVN,45-54,Low,Suburban
CUST-GUKNBS,18-24,High,Suburban
CUST-TIUERI,35-44,High,Urban
CUST-ZJDBYL,35-44,Medium,Suburban
CUST-PLXEDI,25-34,Medium,Rural
CUST-DNSXFW,45-54,Medium,Urban
CUST-TUQHIJ,25-34,Medium,Suburban
CUST-SRCUIL,45-54,Medium,Urban
CUST-KXPYKC,25-34,Low,Rural
CUST-SGHWPM,35-44,Low,Rural
CUST-IDXVPY,45-54,High,Rural
CUST-LRUTQF,25-34,High,Urban
CUST-PBBBXL,45-54,High,Urban
CUST-ESLFDX,25-34,Medium,Rural
CUST-IVHCTA,18-24,Low,Suburban
CUST-CRSLQM,55+,Low,Suburban
CUST-QLCHOB,45-54,Medium,Urban
CUST-WHGRVS,18-24,Medium,Rural
CUST-XZQGXK,45-54,Low,Urban
CUST-JEIILL,55+,Low,Urban
CUST-TCNUIV,25-34,Medium,Rural
CUST-QCQHAY,55+,Low,Suburban
CUST-EQJHOG,35-44,High,Urban
CUST-OCDINL,25-34,Low,Suburban
CUST-YPD0A0,35-44,High,Urban
CUST-SVZRPL,18-24,Medium,Suburban
CUST-KQQAJZ,18-24,High,Urban
CUST-ESLFDX,45-54,High,Suburban
CUST-XBTYZL,18-24,Medium,Suburban
CUST-ROAVXZ,45-54,High,Suburban
CUST-ACWNBB,55+,High,Urban
CUST-MDJJFP,18-24,Medium,Urban
CUST-LFYSRB,18-24,Medium,Urban
CUST-KQPISI,45-54,High,Rural
CUST-LTXPIN,25-34,Low,Urban
CUST-BWRLAG,35-44,Medium,Suburban
CUST-WWEDDL,35-44,Low,Rural
CUST-CEHZBV,35-44,Low,Urban
CUST-NGQYCB,55+,High,Suburban
CUST-PRKQGZ,35-44,Low,Rural
CUST-NBXRAA,25-34,Medium,Urban
CUST-IBSMEN,25-34,Medium,Suburban
CUST-RDLGMG,45-54,Medium,Rural
CUST-OCTWMB,55+,Low,Suburban
CUST-CXBDKJ,55+,High,Suburban
CUST-YBZPYF,45-54,Low,Rural
CUST-VGFPDL,55+,Medium,Urban
CUST-CCUHQB,18-24,Medium,Rural
CUST-YGSALK,55+,Low,Urban
CUST-PVKDBF,25-34,Medium,Rural
CUST-RBSQJY,25-34,Low,Suburban
CUST-PIMZWH,18-24,High,Suburban
CUST-RYWPQT,18-24,High,Rural
CUST-CTECGK,45-54,Low,Rural
CUST-TIEYQZ,45-54,High,Rural
CUST-NAHFVZ,55+,High,Urban
CUST-QXQMUP,45-54,High,Urban
CUST-FTCASX,35-44,Low,Urban
CUST-DVYQGK,35-44,Low,Rural
CUST-QNSNOK,35-44,Medium,Suburban
CUST-QCESUJ,55+,High,Suburban
CUST-UEGKDS,45-54,Medium,Urban
CUST-PXVDRY,18-24,High,Urban
CUST-UWYPVM,35-44,Medium,Rural
CUST-UZHYCU,35-44,Medium,Rural
CUST-DPCBFN,25-34,High,Rural
