Order_ID,Customer_ID,Order_Amount,Order_Date,Order_Status,Product,Payment_Method,Quantity
CUST-HAHSVI,CUST-XXPAKC,65,2024-02-13,Pending,Fiber 1 Gbps,Direct Debit,2
CUST-VUSYJD,CUST-ECEQVP,72,2024-02-14,Cancelled,TV + Internet Bundle,Credit Card,4
CUST-BHKUAE,CUST-INYAMS,128,2024-02-15,Completed,TV + Internet Bundle,PayPal,4
CUST-THKLOC,CUST-TIEYQZ,27,2024-02-16,Completed,Fiber 500 Mbps,Direct Debit,1
CUST-VBPRAU,CUST-TFSTTN,90,2024-02-17,Completed,TV + Internet Bundle,Credit Card,2
CUST-GXYZQE,CUST-HPPBTX,100,2024-02-18,Cancelled,VoIP Service,PayPal,4
CUST-COIVGK,CUST-JJUYUI,140,2024-02-19,Completed,Fiber 1 Gbps,Credit Card,3
CUST-MRNMEO,CUST-TUQHIJ,82,2024-02-20,Completed,Fiber 500 Mbps,Direct Debit,2
CUST-IUQRDE,CUST-JUWXSS,74,2024-02-21,Pending,Fiber 1 Gbps,Credit Card,3
CUST-WAOPIF,CUST-YZABGU,80,2024-02-22,Pending,Fiber 500 Mbps,Direct Debit,4
CUST-QMWKRN,CUST-URPHGZ,92,2024-02-23,Cancelled,Fiber 500 Mbps,Direct Debit,1
CUST-HWNAMJ,CUST-BFFQDK,117,2024-02-24,Pending,Fiber 500 Mbps,Direct Debit,4
CUST-RZOYIB,CUST-XJQCTZ,54,2024-02-25,Pending,VoIP Service,PayPal,2
CUST-NNXRSW,CUST-CWWMCC,111,2024-02-26,Cancelled,Fiber 1 Gbps,PayPal,4
CUST-CJQJSK,CUST-RNGPDK,149,2024-02-27,Pending,VoIP Service,Direct Debit,1
CUST-LBLQJH,CUST-AXUZAC,51,2024-02-28,Pending,TV + Internet Bundle,Credit Card,2
CUST-UOMEJJ,CUST-OLTCJM,107,2024-02-29,Pending,Fiber 500 Mbps,PayPal,2
CUST-ONPSQW,CUST-ISBIX0,74,2024-03-01,Cancelled,TV + Internet Bundle,PayPal,1
CUST-PGCNYE,CUST-NEVUGZ,32,2024-03-02,Cancelled,Mobile Unlimited,Direct Debit,3
CUST-AKVKJZ,CUST-IXDGEA,30,2024-03-03,Pending,Fiber 1 Gbps,PayPal,1
CUST-QFIVHT,CUST-NIMLZA,31,2024-03-04,Completed,Mobile Unlimited,PayPal,1
CUST-HEEMEQ,CUST-COZPTL,45,2024-03-05,Pending,Fiber 500 Mbps,Direct Debit,1
CUST-MIHXUE,CUST-DBYADB,49,2024-03-06,Cancelled,Fiber 500 Mbps,Direct Debit,3
CUST-UISXBX,CUST-JWRVMF,132,2024-03-07,Completed,TV + Internet Bundle,Credit Card,1
CUST-HHFSQQ,CUST-GOZBZA,141,2024-03-08,Completed,Fiber 500 Mbps,PayPal,4
CUST-XGDRVW,CUST-MRJNDQ,136,2024-03-09,Completed,Fiber 500 Mbps,Credit Card,3
CUST-CEZQUW,CUST-MLJRYA,32,2024-03-10,Cancelled,Fiber 500 Mbps,PayPal,1
CUST-DCZDWE,CUST-RMTMYP,134,2024-03-11,Pending,Mobile Unlimited,Direct Debit,4
CUST-JDWDCU,CUST-GLXSEC,40,2024-03-12,Cancelled,TV + Internet Bundle,PayPal,4
CUST-YNBFBR,CUST-CXBDKJ,59,2024-03-13,Cancelled,Mobile Unlimited,Direct Debit,1
CUST-VTLOJF,CUST-EKQUIY,48,2024-03-14,Cancelled,Fiber 500 Mbps,PayPal,2
CUST-KCCMPI,CUST-NAHFVZ,21,2024-03-15,Completed,Fiber 500 Mbps,PayPal,4
CUST-BMSJGL,CUST-QWBXEZ,53,2024-03-16,Completed,Fiber 500 Mbps,Direct Debit,3
CUST-CZRNBU,CUST-WTWNVL,112,2024-03-17,Completed,Mobile Unlimited,Direct Debit,4
CUST-JLUBUB,CUST-DMNBQX,30,2024-03-18,Completed,Fiber 1 Gbps,PayPal,1
CUST-XTBFBC,CUST-XBTYZL,61,2024-03-19,Completed,TV + Internet Bundle,Credit Card,2
CUST-GTYUUP,CUST-OJAJKO,143,2024-03-20,Completed,Mobile Unlimited,Credit Card,4
CUST-WIECDL,CUST-KEEUBP,86,2024-03-21,Cancelled,VoIP Service,PayPal,1
CUST-EIYIXO,CUST-DICFBV,145,2024-03-22,Cancelled,Mobile Unlimited,Credit Card,4
CUST-RHNCTA,CUST-KLADFR,40,2024-03-23,Completed,VoIP Service,Direct Debit,3
CUST-TV0TQP,CUST-POPCVV,39,2024-03-24,Completed,TV + Internet Bundle,Credit Card,2
CUST-EEJWLQ,CUST-ZTTLAD,34,2024-03-25,Pending,Mobile Unlimited,PayPal,1
CUST-KYQMUN,CUST-CSQPSW,116,2024-03-26,Pending,Fiber 1 Gbps,Credit Card,4
CUST-USDQLM,CUST-QKIHVH,113,2024-03-27,Cancelled,Mobile Unlimited,PayPal,2
CUST-FMXNNP,CUST-KXTAXT,37,2024-03-28,Pending,Mobile Unlimited,Credit Card,4
CUST-GIQTHM,CUST-ACWNBB,93,2024-03-29,Cancelled,Fiber 1 Gbps,Direct Debit,4
CUST-COARTS,CUST-ADQUHG,133,2024-03-30,Pending,Fiber 500 Mbps,Direct Debit,3
CUST-WYUVUJ,CUST-LRQNCG,65,2024-03-31,Pending,Fiber 1 Gbps,Credit Card,1
CUST-UEEGRT,CUST-RIRDWS,76,2024-04-01,Pending,TV + Internet Bundle,PayPal,2
CUST-KZRSSI,CUST-DMNBQX,73,2024-04-02,Cancelled,TV + Internet Bundle,Direct Debit,2
CUST-VUTPFN,CUST-WTDDJW,40,2024-04-03,Completed,Mobile Unlimited,Credit Card,1
CUST-GAQJEL,CUST-WGQLZM,148,2024-04-04,Pending,Fiber 1 Gbps,Direct Debit,2
CUST-PXYXJK,CUST-RWVLPD,34,2024-04-05,Completed,VoIP Service,Credit Card,4
CUST-NXKAJT,CUST-EOUSHW,71,2024-04-06,Pending,Fiber 1 Gbps,PayPal,3
CUST-XQOPNV,CUST-PGJYWE,60,2024-04-07,Pending,Fiber 500 Mbps,PayPal,1
CUST-NVFRMM,CUST-UGYEEN,31,2024-04-08,Cancelled,TV + Internet Bundle,PayPal,3
CUST-XSHUHN,CUST-GHSVBI,63,2024-04-09,Pending,Fiber 500 Mbps,Credit Card,3
CUST-EHFSTE,CUST-CEJXCG,76,2024-04-10,Completed,Fiber 500 Mbps,Direct Debit,3
CUST-SNNINW,CUST-TIUERI,70,2024-04-11,Pending,Fiber 500 Mbps,Direct Debit,1
CUST-FOIYXJ,CUST-BFFQDK,112,2024-04-12,Completed,Fiber 1 Gbps,PayPal,4
CUST-WLXHNT,CUST-OILAIL,112,2024-04-13,Pending,VoIP Service,Credit Card,2
CUST-GQDFPG,CUST-GTAMDH,74,2024-04-14,Pending,Fiber 500 Mbps,Credit Card,1
CUST-XPRICM,CUST-HRPIY0,105,2024-04-15,Pending,Fiber 500 Mbps,PayPal,2
CUST-JKZQFS,CUST-CWKDCJ,39,2024-04-16,Cancelled,Fiber 1 Gbps,PayPal,1
CUST-NHZKIF,CUST-QUAITW,29,2024-04-17,Cancelled,TV + Internet Bundle,PayPal,2
CUST-UWUZEI,CUST-PSHGCM,34,2024-04-18,Cancelled,TV + Internet Bundle,Credit Card,4
CUST-OYCFKJ,CUST-BBQMFG,87,2024-04-19,Cancelled,TV + Internet Bundle,Direct Debit,1
CUST-KUXCLC,CUST-TGAEYN,106,2024-04-20,Completed,Fiber 1 Gbps,Credit Card,1
CUST-GUKRGQ,CUST-URVTRD,105,2024-04-21,Cancelled,Fiber 1 Gbps,PayPal,1
CUST-DHKQJK,CUST-WPIIDZ,83,2024-04-22,Completed,Mobile Unlimited,PayPal,3
CUST-ETRSRY,CUST-ASMOPP,75,2024-04-23,Cancelled,TV + Internet Bundle,Credit Card,1
CUST-NOEYUV,CUST-QFKIWK,148,2024-04-24,Cancelled,VoIP Service,Direct Debit,4
CUST-TEFUPD,CUST-SYEZYZ,50,2024-04-25,Pending,Mobile Unlimited,PayPal,4
CUST-MOVUFK,CUST-IGRLGZ,58,2024-04-26,Pending,Fiber 1 Gbps,Direct Debit,4
CUST-HHJDMI,CUST-NRBIXS,100,2024-04-27,Pending,Fiber 1 Gbps,PayPal,3
CUST-BFVRYM,CUST-RPKSUW,65,2024-04-28,Cancelled,TV + Internet Bundle,Direct Debit,3
CUST-RPXNYA,CUST-JYOAFT,71,2024-04-29,Pending,VoIP Service,Direct Debit,4
CUST-RPEEOI,CUST-UHMZOE,52,2024-04-30,Completed,Fiber 1 Gbps,PayPal,4
CUST-AXUXDS,CUST-KHFNCO,134,2024-05-01,Pending,Fiber 500 Mbps,Credit Card,1
CUST-KOXSIH,CUST-FWYGPK,139,2024-05-02,Cancelled,Mobile Unlimited,PayPal,1
CUST-DXCCDA,CUST-RWQDIZ,148,2024-05-03,Completed,Fiber 1 Gbps,PayPal,1
CUST-WKDTZF,CUST-FSXOID,72,2024-05-04,Pending,Mobile Unlimited,PayPal,1
CUST-QNSDUU,CUST-KDYFRH,111,2024-05-05,Cancelled,Mobile Unlimited,Credit Card,2
CUST-GLOSDS,CUST-IYVAZU,101,2024-05-06,Completed,VoIP Service,Credit Card,1
CUST-GRLHUU,CUST-NSHHOL,110,2024-05-07,Completed,Fiber 1 Gbps,PayPal,2
CUST-CBBAZU,CUST-RCXLSW,76,2024-05-08,Cancelled,Fiber 500 Mbps,Credit Card,2
CUST-JCBRLU,CUST-MDBLHX,86,2024-05-09,Completed,TV + Internet Bundle,PayPal,3
CUST-XJZWCP,CUST-YXXOBB,140,2024-05-10,Cancelled,Fiber 1 Gbps,PayPal,3
CUST-OCWFXP,CUST-YKWDPO,44,2024-05-11,Cancelled,Fiber 1 Gbps,Direct Debit,3
CUST-S0MNPA,CUST-SDMHQJ,115,2024-05-12,Pending,TV + Internet Bundle,Credit Card,3
CUST-FRNFTS,CUST-NAWWUX,59,2024-05-13,Completed,TV + Internet Bundle,Direct Debit,2
CUST-OAREHR,CUST-DBCXZG,114,2024-05-14,Cancelled,Mobile Unlimited,PayPal,2
CUST-BTKPII,CUST-OVZMXB,71,2024-05-15,Cancelled,Fiber 500 Mbps,Credit Card,1
CUST-AOGBVE,CUST-MRJNDQ,109,2024-05-16,Completed,TV + Internet Bundle,Credit Card,2
CUST-KFMQDO,CUST-SCKXVX,33,2024-05-17,Pending,Mobile Unlimited,Credit Card,1
CUST-IPQLJK,CUST-BPZUNC,48,2024-05-18,Completed,Fiber 1 Gbps,Credit Card,4
CUST-AREIBK,CUST-TZRLJT,133,2024-05-19,Completed,VoIP Service,PayPal,4
CUST-NQLIAP,CUST-CRVNWM,87,2024-05-20,Completed,TV + Internet Bundle,Credit Card,2
CUST-GXIIKO,CUST-CRFVZY,44,2024-05-21,Completed,Fiber 1 Gbps,Direct Debit,4
CUST-YOMBEX,CUST-JLRSZW,90,2024-05-22,Cancelled,Fiber 1 Gbps,Credit Card,2
CUST-ZSITKJ,CUST-SYEZYZ,50,2024-05-23,Cancelled,Fiber 500 Mbps,Direct Debit,4
CUST-YOCZUK,CUST-CKUFUI,122,2024-05-24,Completed,Mobile Unlimited,Direct Debit,2
CUST-EBEKPK,CUST-BGEGKK,97,2024-05-25,Pending,Fiber 1 Gbps,Credit Card,1
CUST-TGVTVO,CUST-MFVDKL,29,2024-05-26,Pending,VoIP Service,Credit Card,3
CUST-JJIWQF,CUST-YDPRKI,99,2024-05-27,Completed,Mobile Unlimited,PayPal,2
CUST-NNNXNE,CUST-YEMUOW,121,2024-05-28,Pending,Fiber 500 Mbps,Direct Debit,2
CUST-CXUYVQ,CUST-VKHWHK,132,2024-05-29,Completed,TV + Internet Bundle,Direct Debit,4
CUST-VQBKAD,CUST-AIFNIY,72,2024-05-30,Pending,Mobile Unlimited,PayPal,4
CUST-PWAYQE,CUST-PBYTWS,58,2024-05-31,Completed,Mobile Unlimited,PayPal,1
CUST-JQDMUO,CUST-FRWMSB,55,2024-06-01,Cancelled,Fiber 1 Gbps,Direct Debit,4
CUST-GAXKSL,CUST-PDVTVV,78,2024-06-02,Completed,Mobile Unlimited,Direct Debit,2
CUST-PQLDZL,CUST-KLADFR,128,2024-06-03,Cancelled,VoIP Service,Direct Debit,2
CUST-JSVKPY,CUST-OVPZFP,75,2024-06-04,Cancelled,TV + Internet Bundle,Credit Card,1
CUST-MIOQWD,CUST-WFFDVN,88,2024-06-05,Pending,TV + Internet Bundle,Direct Debit,3
CUST-EXAEWJ,CUST-KDYFRH,147,2024-06-06,Pending,Fiber 500 Mbps,PayPal,2
CUST-BCYPKE,CUST-YAFHFQ,65,2024-06-07,Completed,VoIP Service,PayPal,4
CUST-QFTOPP,CUST-UUCHGJ,51,2024-06-08,Completed,Fiber 500 Mbps,Direct Debit,2
CUST-WQKSHJ,CUST-EXHGCU,98,2024-06-09,Cancelled,Fiber 1 Gbps,PayPal,4
CUST-QPJILY,CUST-AXIFAK,72,2024-06-10,Completed,Fiber 1 Gbps,Credit Card,1
CUST-WOZOMW,CUST-QIWXYG,73,2024-06-11,Cancelled,Mobile Unlimited,PayPal,2
CUST-HJDCCK,CUST-LUXHPK,119,2024-06-12,Pending,Fiber 1 Gbps,Credit Card,2
CUST-THOOYD,CUST-HWATOI,39,2024-06-13,Pending,VoIP Service,Credit Card,2
CUST-XNXDTS,CUST-AUVAWV,50,2024-06-14,Pending,Fiber 1 Gbps,Credit Card,4
CUST-JIFQPR,CUST-DMNBQX,69,2024-06-15,Cancelled,TV + Internet Bundle,Credit Card,2
CUST-ZZGPCY,CUST-SXQGJD,61,2024-06-16,Pending,Fiber 500 Mbps,Direct Debit,1
CUST-WHLZEI,CUST-CXBDKJ,92,2024-06-17,Completed,TV + Internet Bundle,Direct Debit,4
CUST-LYYROU,CUST-UFLWRT,116,2024-06-18,Completed,Mobile Unlimited,Direct Debit,1
CUST-SQHKUR,CUST-BFRQNA,106,2024-06-19,Cancelled,Fiber 1 Gbps,Direct Debit,2
CUST-GKZERO,CUST-KOVZHG,125,2024-06-20,Cancelled,TV + Internet Bundle,Direct Debit,1
CUST-OJKIAE,CUST-URPHGZ,97,2024-06-21,Completed,Mobile Unlimited,Direct Debit,4
CUST-NYNFMU,CUST-COTGVV,38,2024-06-22,Completed,TV + Internet Bundle,Credit Card,4
CUST-MXIRIT,CUST-LBLNML,75,2024-06-23,Pending,VoIP Service,PayPal,1
CUST-LEQNLW,CUST-CEHZBV,70,2024-06-24,Cancelled,Mobile Unlimited,Credit Card,3
CUST-RFYJFT,CUST-PYFUDX,31,2024-06-25,Pending,Fiber 1 Gbps,PayPal,1
CUST-VOUXJJ,CUST-BLEUJG,87,2024-06-26,Pending,VoIP Service,PayPal,4
CUST-ZQTOCI,CUST-BXADMI,95,2024-06-27,Completed,VoIP Service,PayPal,1
CUST-GZXDWY,CUST-HKCYXU,115,2024-06-28,Pending,Fiber 500 Mbps,Direct Debit,3
CUST-LMBZKC,CUST-DAYGHS,88,2024-06-29,Pending,Fiber 1 Gbps,Credit Card,4
CUST-YUVUZS,CUST-IVMZMZ,148,2024-06-30,Completed,TV + Internet Bundle,Credit Card,4
CUST-LCABFJ,CUST-ROAVXZ,71,2024-07-01,Cancelled,Fiber 500 Mbps,PayPal,2
CUST-WQTSEL,CUST-ISBGAR,132,2024-07-02,Pending,TV + Internet Bundle,Direct Debit,4
CUST-RDMOXG,CUST-KJWNWH,56,2024-07-03,Completed,Mobile Unlimited,Direct Debit,2
CUST-BNBPYS,CUST-XRANNB,31,2024-07-04,Cancelled,Fiber 500 Mbps,PayPal,1
CUST-ZPKERW,CUST-LLKCBY,105,2024-07-05,Completed,VoIP Service,PayPal,1
CUST-LSXWMW,CUST-SJWVXL,134,2024-07-06,Cancelled,VoIP Service,Credit Card,4
CUST-FGYYUL,CUST-TVDOJG,140,2024-07-07,Pending,Fiber 500 Mbps,PayPal,1
CUST-MQSEFJ,CUST-ROSFWM,69,2024-07-08,Completed,TV + Internet Bundle,Direct Debit,3
CUST-HIDWKI,CUST-YTQGXK,28,2024-07-09,Pending,VoIP Service,Direct Debit,2
CUST-FXOOWN,CUST-NAWWUX,68,2024-07-10,Pending,Fiber 1 Gbps,Direct Debit,2
CUST-FDQLNB,CUST-PRKQGZ,111,2024-07-11,Cancelled,VoIP Service,Direct Debit,1
CUST-MZHPTD,CUST-HPIPIB,63,2024-07-12,Cancelled,VoIP Service,Direct Debit,4
CUST-JJQSWH,CUST-EXEPUG,29,2024-07-13,Cancelled,VoIP Service,Credit Card,1
CUST-LHYTSL,CUST-ISBGAR,63,2024-07-14,Completed,Mobile Unlimited,PayPal,3
CUST-PFBVEJ,CUST-FOUQHK,143,2024-07-15,Pending,Fiber 500 Mbps,PayPal,1
CUST-BJBPFB,CUST-KXTAXT,109,2024-07-16,Completed,Fiber 1 Gbps,PayPal,1
CUST-AGXRME,CUST-FWYGPK,103,2024-07-17,Pending,Fiber 1 Gbps,PayPal,2
CUST-JOBQKK,CUST-BADZWJ,138,2024-07-18,Completed,VoIP Service,PayPal,4
CUST-VXJBOQ,CUST-WWOFAL,53,2024-07-19,Pending,Fiber 1 Gbps,Direct Debit,2
CUST-PMURNN,CUST-CRFVZY,43,2024-07-20,Pending,Fiber 1 Gbps,PayPal,2
CUST-HLXIBR,CUST-LTVMUX,129,2024-07-21,Pending,Mobile Unlimited,Direct Debit,3
CUST-OGSVCU,CUST-TFSTTN,35,2024-07-22,Cancelled,TV + Internet Bundle,PayPal,2
CUST-WSTWXY,CUST-VLZB0Y,25,2024-07-23,Pending,VoIP Service,Direct Debit,2
CUST-JTKUMA,CUST-KZCKQZ,86,2024-07-24,Pending,VoIP Service,Direct Debit,3
CUST-DJAWEZ,CUST-TROHDX,91,2024-07-25,Completed,Mobile Unlimited,Direct Debit,3
CUST-CXTNXR,CUST-CAAFCG,55,2024-07-26,Completed,TV + Internet Bundle,Credit Card,2
CUST-CLIMSX,CUST-DPCBFN,130,2024-07-27,Cancelled,Fiber 1 Gbps,Credit Card,3
CUST-HMOHYK,CUST-FSQAXB,149,2024-07-28,Cancelled,Mobile Unlimited,PayPal,2
CUST-SEEDHJ,CUST-WTDDJW,67,2024-07-29,Pending,Fiber 1 Gbps,Credit Card,2
CUST-MHIJZI,CUST-ZSUIUF,116,2024-07-30,Completed,Fiber 1 Gbps,PayPal,4
CUST-WKDOIK,CUST-EFAKSZ,63,2024-07-31,Completed,Fiber 1 Gbps,PayPal,3
CUST-XNSZAK,CUST-ZQNUDE,60,2024-08-01,Cancelled,Fiber 1 Gbps,Credit Card,4
CUST-NVSLPW,CUST-LRQNCG,20,2024-08-02,Pending,Mobile Unlimited,Direct Debit,2
CUST-MEYWRS,CUST-HSADJP,50,2024-08-03,Completed,Fiber 500 Mbps,Credit Card,1
CUST-TAIERA,CUST-XWKZAX,64,2024-08-04,Pending,Mobile Unlimited,PayPal,2
CUST-PPJMAY,CUST-DPCBFN,28,2024-08-05,Pending,Mobile Unlimited,PayPal,4
CUST-KYGTAQ,CUST-TMBFJM,111,2024-08-06,Cancelled,TV + Internet Bundle,Direct Debit,3
CUST-PWCAZD,CUST-EKQUIY,56,2024-08-07,Pending,VoIP Service,Direct Debit,2
CUST-TKOKXS,CUST-IIXSHB,52,2024-08-08,Pending,TV + Internet Bundle,PayPal,2
CUST-GINBAZ,CUST-IXDGEA,106,2024-08-09,Cancelled,TV + Internet Bundle,Direct Debit,3
CUST-WKDUKX,CUST-TTKGFM,61,2024-08-10,Completed,Fiber 500 Mbps,Direct Debit,4
CUST-ZRABEU,CUST-NOSGJS,68,2024-08-11,Completed,Fiber 1 Gbps,PayPal,2
CUST-KYVMQM,CUST-FUFQNG,134,2024-08-12,Pending,TV + Internet Bundle,Credit Card,2
CUST-XBZVRN,CUST-FNKEIJ,49,2024-08-13,Pending,VoIP Service,PayPal,2
CUST-GGSHRY,CUST-IVAMMC,27,2024-08-14,Pending,VoIP Service,Direct Debit,4
CUST-ZE0MJN,CUST-WWMUHA,124,2024-08-15,Completed,TV + Internet Bundle,PayPal,2
CUST-WUXDCQ,CUST-DWIFBM,43,2024-08-16,Completed,VoIP Service,Direct Debit,1
CUST-YEOOEI,CUST-NYC0TR,107,2024-08-17,Completed,TV + Internet Bundle,Credit Card,1
CUST-FOXMDB,CUST-IVMZMZ,110,2024-08-18,Pending,VoIP Service,Direct Debit,4
CUST-GLNEEV,CUST-OOEKPO,126,2024-08-19,Pending,Fiber 1 Gbps,PayPal,2
CUST-FURVQL,CUST-TYEIMG,136,2024-08-20,Pending,Fiber 1 Gbps,Credit Card,3
CUST-VQSEQZ,CUST-NJECLL,120,2024-08-21,Completed,Fiber 500 Mbps,Credit Card,4
CUST-AJRRPK,CUST-ZEDDTG,124,2024-08-22,Pending,Fiber 1 Gbps,PayPal,4
CUST-INJTRV,CUST-RPATXD,47,2024-08-23,Cancelled,TV + Internet Bundle,PayPal,2
CUST-DOGTZH,CUST-ZUCXJW,63,2024-08-24,Pending,VoIP Service,PayPal,4
CUST-GMPBHU,CUST-DUKUTK,126,2024-08-25,Cancelled,VoIP Service,Credit Card,1
CUST-UXPICB,CUST-YUBLAQ,27,2024-08-26,Pending,Fiber 1 Gbps,Direct Debit,2
CUST-WNHGSV,CUST-TJWLZE,114,2024-08-27,Cancelled,Mobile Unlimited,PayPal,4
CUST-WXWEQI,CUST-MYHYST,98,2024-08-28,Cancelled,Mobile Unlimited,PayPal,3
CUST-UZRKNT,CUST-QFWMFF,31,2024-08-29,Pending,Fiber 1 Gbps,Credit Card,3
CUST-WFSPKV,CUST-CSQPSW,99,2024-08-30,Pending,TV + Internet Bundle,Credit Card,3
CUST-ADJYQY,CUST-MVCMGU,36,2024-08-31,Cancelled,Fiber 1 Gbps,Direct Debit,3
CUST-NQQVMP,CUST-XRPDAP,102,2024-09-01,Completed,Fiber 1 Gbps,Credit Card,4
CUST-JRFQOJ,CUST-TIWDVV,33,2024-09-02,Pending,Mobile Unlimited,PayPal,3
CUST-RRNCWC,CUST-FTZKRZ,33,2024-09-03,Cancelled,Fiber 1 Gbps,Direct Debit,3
CUST-AWGQKK,CUST-ZUCXJW,141,2024-09-04,Pending,Mobile Unlimited,Direct Debit,4
CUST-DWUBDL,CUST-QCQHAY,98,2024-09-05,Cancelled,VoIP Service,PayPal,3
CUST-GLBGLV,CUST-PCKIPI,60,2024-09-06,Pending,VoIP Service,Credit Card,1
CUST-GDLUQS,CUST-MVLPBX,119,2024-09-07,Pending,VoIP Service,Direct Debit,4
CUST-RWVEAB,CUST-PLXEDI,99,2024-09-08,Cancelled,TV + Internet Bundle,Credit Card,3
CUST-ELOGMS,CUST-BIVXZS,40,2024-09-09,Completed,VoIP Service,PayPal,3
CUST-DPSJDG,CUST-IDVYOK,127,2024-09-10,Cancelled,Fiber 1 Gbps,PayPal,2
CUST-LHYNJH,CUST-EQJHOG,48,2024-09-11,Pending,VoIP Service,PayPal,2
CUST-OZGQUY,CUST-ETTPKF,126,2024-09-12,Completed,Fiber 500 Mbps,Credit Card,2
